formula,MASS_MEAN,MASS_STD,MASS_MIN,ATOMIC_RADII_MEAN,ATOMIC_RADII_STD,ATOMIC_RADII_MAX,ELECTRON_NEG_MEAN,ELECTRON_NEG_MIN,IONIZATION_ENERGIES_MEAN,IONIZATION_ENERGIES_STD,IONIZATION_ENERGIES_MIN,ELECTRON_AFFINITIES_MEAN,ELECTRON_AFFINITIES_STD,ELECTRON_AFFINITIES_MIN,IONIC_RADII_MEAN,IONIC_RADII_STD,IONIC_RADII_MIN,VALENCE_MEAN,VALENCE_STD,VALENCE_MIN,VALENCE_MODE,SHELL_STD,SHELL_MAX,SHELL_MODE,S_E_MEAN,S_E_STD,S_E_MAX,P_E_MEAN,P_E_MIN,BLOCK_MEAN,BLOCK_STD,BLOCK_MAX,S_UNFILLED_MEAN,S_UNFILLED_STD,S_UNFILLED_MODE,P_UNFILLED_MEAN,P_UNFILLED_STD,P_UNFILLED_MIN,P_UNFILLED_MODE,D_UNFILLED_MEAN,D_UNFILLED_STD,D_UNFILLED_MIN,D_UNFILLED_MODE,MAX_OXIDATION_STATE_MEAN,MAX_OXIDATION_STATE_STD,MAX_OXIDATION_STATE_MAX,MAX_OXIDATION_STATE_MIN,MELTING_POINT_MEAN,MELTING_POINT_STD,MELTING_POINT_MAX,MENDELEEV_NO_MEAN,MENDELEEV_NO_MAX,MENDELEEV_NO_MODE,MOLAR_VOLUME_MIN,MOLAR_VOLUME_MODE,BOILING_POINT_RANGE,ELEMENT_NUM,L2_NORM,N_ATOMS,SPACE_GROUP,GAMMA,A,C,VOLUME_PER_ATOM,DENSITY,DISTANCE_STD,DISTANCE_MAX
CoReTi2_225.vasp,85.21855,58.480473,47.867,1.375,0.024999976,1.4,1.715,1.54,15.208849,1.6423043,13.5755,0.2184379,0.2563183,0.06039663,0.7960417,0.059023835,0.7125,4.0,2.1213202,2.0,2.0,0.8660254,6.0,4.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.1213202,3.0,8.0,5.0,1.2247449,7.0,4.0,2277.25,685.92944,3459.0,56.0,64.0,51.0,6.67,10.64,2669.0,3.0,0.61237246,4.0,225.0,59.99084,4.3105345,4.310489,14.155138,9.996987,1.7461676e-05,2.6393032
CoRe_187.vasp,122.5701,63.6369,58.933193,1.35,0.0,1.35,1.89,1.88,16.842201,0.2421999,16.6,0.3613308,0.3009342,0.06039663,0.74041665,0.02791667,0.7125,6.0,1.0,5.0,5.0,1.0,6.0,4.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,3.0,6.0,1.0,7.0,5.0,2613.5,845.5,3459.0,61.0,64.0,58.0,6.67,6.67,2669.0,2.0,0.70710677,2.0,187.0,120.0,2.683344,4.151993,12.945235,15.722575,3.1401849000000005e-16,2.5903413
CoRh2Sb_139.vasp,96.62605,23.083164,58.933193,1.375,0.04330128,1.45,2.1225,1.88,17.4676,0.63348264,16.626,0.9988625,0.19820626,0.662265,0.7720833,0.034768574,0.745,2.5,2.8722813,0.0,0.0,0.4330127,5.0,5.0,1.5,0.5,2.0,0.75,0.0,1.75,0.4330127,2.0,0.5,0.5,0.0,0.75,1.299038,0.0,0.0,1.75,1.0897248,0.0,2.0,5.5,0.5,6.0,5.0,1786.4451,544.3889,2237.0,70.5,88.0,65.0,6.67,8.28,2108.0,3.0,0.61237246,4.0,139.0,75.606705,4.647033,4.647033,14.895143,10.772058,0.0,2.7252698
CoRh2Se4_12.vasp,82.9406,14.327452,58.933193,1.2357143,0.09897435,1.35,2.3771427,1.88,19.718342,1.733694,17.0844,1.5757811,0.53462535,0.662265,0.90166664,0.12914246,0.745,3.2857144,2.312345,0.0,4.0,0.45175397,5.0,4.0,1.7142857,0.4517539,2.0,2.2857144,0.0,1.4285715,0.49487168,2.0,0.2857143,0.4517539,0.0,1.1428572,0.9897433,0.0,2.0,1.0,1.1952286,0.0,0.0,5.857143,0.34992713,6.0,5.0,1174.0,798.4247,2237.0,80.85714,93.0,93.0,6.67,16.42,3010.0,3.0,0.65465367,7.0,12.0,34.00047,6.3795505,6.4299183,18.008505,7.6478367,0.013826536,2.5008745
CoRh3_221.vasp,91.91243,19.04057,58.933193,1.35,0.0,1.35,2.1799998,1.88,17.8311,0.4311073,17.0844,1.0227352,0.20811759,0.662265,0.7508333,0.01010362,0.745,1.75,3.0310888,0.0,0.0,0.4330127,5.0,5.0,1.25,0.4330127,2.0,0.0,0.0,2.0,0.0,2.0,0.75,0.4330127,1.0,0.0,0.0,0.0,0.0,2.25,0.4330127,2.0,2.0,5.75,0.4330127,6.0,5.0,2119.75,203.08296,2237.0,64.75,65.0,65.0,6.67,8.28,768.0,2.0,0.7905694,4.0,221.0,90.0,3.766398,3.766398,13.357299,11.426275,0.0,2.6632457
CoRhSc2_225.vasp,62.93763,23.77052,44.955914,1.475,0.125,1.6,1.72,1.36,15.190985,2.4169838,12.79977,0.5453893,0.39554957,0.1882,0.8208333,0.06469479,0.745,2.25,2.772634,0.0,1.0,0.4330127,5.0,4.0,1.75,0.4330127,2.0,0.0,0.0,2.0,0.0,2.0,0.25,0.4330127,0.0,0.0,0.0,0.0,0.0,5.75,3.269174,2.0,9.0,4.25,1.299038,6.0,3.0,1908.25,190.73067,2237.0,41.75,65.0,19.0,6.67,15.0,865.0,3.0,0.61237246,4.0,225.0,60.0,4.5094066,4.5094066,16.210007,6.447276,5.874748e-16,2.7614362
CoRhV6_200.vasp,58.435966,17.01025,50.9415,1.35,0.0,1.35,1.7425001,1.63,15.37105,1.3006458,14.634,0.62139106,0.20197302,0.527662,0.77229166,0.010742801,0.745,3.125,1.763342,0.0,3.0,0.3307189,5.0,4.0,1.875,0.3307189,2.0,0.0,0.0,2.0,0.0,2.0,0.125,0.3307189,0.0,0.0,0.0,0.0,0.0,5.875,1.9645292,2.0,7.0,5.125,0.3307189,6.0,5.0,2137.875,140.9126,2237.0,56.625,65.0,54.0,6.67,8.32,768.0,3.0,0.77055174,8.0,200.0,90.0,4.6909084,4.6909084,12.90271,7.5205283,0.13673486,2.631012
CoRh_166.vasp,80.91935,21.986155,58.933193,1.35,0.0,1.35,2.08,1.88,17.5822,0.49779987,17.0844,0.9025785,0.2403135,0.662265,0.75666666,0.011666656,0.745,3.5,3.5,0.0,0.0,0.5,5.0,4.0,1.5,0.5,2.0,0.0,0.0,2.0,0.0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.5,0.5,2.0,2.0,5.5,0.5,6.0,5.0,2002.5,234.5,2237.0,64.5,65.0,64.0,6.67,6.67,768.0,2.0,0.70710677,2.0,166.0,34.143402,4.525766,4.525766,13.018136,10.321734,0.0,2.6240947
CoRuSc2_225.vasp,62.478752,22.999756,44.955914,1.4625001,0.13863173,1.6,1.7,1.36,14.860985,2.0644033,12.79977,0.52126193,0.3596853,0.1882,0.79983336,0.09323848,0.661,2.25,2.772634,0.0,1.0,0.4330127,5.0,4.0,1.75,0.4330127,2.0,0.0,0.0,2.0,0.0,2.0,0.25,0.4330127,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,3.0,4.75,2.046338,8.0,3.0,2000.75,350.52203,2607.0,41.0,64.0,19.0,6.67,15.0,1320.0,3.0,0.61237246,4.0,225.0,60.0,4.462434,4.462434,15.708703,6.604518,4.7331287e-06,2.7326715
CoRu_187.vasp,80.001595,21.068403,58.933193,1.325,0.025000036,1.35,2.04,1.88,16.9222,0.16219997,16.76,0.85432374,0.19205877,0.662265,0.71466666,0.05366665,0.661,3.5,3.5,0.0,0.0,0.5,5.0,4.0,1.5,0.5,2.0,0.0,0.0,2.0,0.0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,6.5,1.5,8.0,5.0,2187.5,419.5,2607.0,63.0,64.0,62.0,6.67,6.67,1223.0,2.0,0.70710677,2.0,187.0,119.999985,2.6507735,4.096268,12.463335,10.658927,3.1401849000000005e-16,2.5567653
CoS2_166.vasp,41.02106,12.665789,32.065,1.1166667,0.16499159,1.35,2.3466666,1.88,21.253386,2.9479184,17.0844,1.6054913,0.6669618,0.662265,0.8427777,0.052640177,0.7683333,5.0,1.4142135,4.0,4.0,0.4714045,4.0,3.0,2.0,0.0,2.0,2.6666667,0.0,1.3333334,0.4714045,2.0,0.0,0.0,0.0,1.3333334,0.94280905,0.0,2.0,1.0,1.4142135,0.0,0.0,5.6666665,0.47140452,6.0,5.0,848.2399,650.3685,1768.0,84.0,94.0,94.0,6.67,15.53,2482.13,2.0,0.74535596,3.0,166.0,25.26614,7.3379765,7.3379765,21.115986,3.2258537,4.607983e-15,2.2461987
CoS3Zn2_156.vasp,47.6577,15.741405,32.065,1.1750001,0.17500001,1.35,2.1533334,1.65,20.504469,2.8485527,17.0844,0.9422631,1.2126642,-0.62,0.8613889,0.041615713,0.7683333,6.5,2.6925824,4.0,4.0,0.5,4.0,3.0,2.0,0.0,2.0,2.0,0.0,1.5,0.5,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.118034,0.0,0.0,4.5,1.8027756,6.0,2.0,719.7399,488.1515,1768.0,83.0,94.0,94.0,6.67,15.53,2482.13,3.0,0.62360954,6.0,156.0,120.0,3.7655642,9.314559,19.063463,4.151264,0.026980665,2.3266995
CoS4Ti2_12.vasp,40.41817,10.23215,32.065,1.1642857,0.1903273,1.4,2.182857,1.54,19.655272,4.38802,13.5755,1.3031104,0.91188854,0.075545,0.85595244,0.037847415,0.7683333,3.857143,1.5518258,2.0,4.0,0.49487168,4.0,3.0,2.0,0.0,2.0,2.2857144,0.0,1.4285715,0.49487168,2.0,0.0,0.0,0.0,1.1428572,0.9897433,0.0,2.0,2.7142856,3.493434,0.0,0.0,5.285714,0.8806306,6.0,4.0,1029.0627,741.74384,1941.0,77.42857,94.0,94.0,6.67,15.53,2842.13,3.0,0.65465367,7.0,12.0,30.02574,6.611118,5.9243774,16.382286,4.0968614,0.026206242,2.427589
CoS4V2_12.vasp,41.2966,10.941321,32.065,1.15,0.17320509,1.35,2.2085712,1.63,19.9577,3.9756734,14.634,1.4322866,0.74572927,0.527662,0.834762,0.052313007,0.7683333,4.142857,1.2453996,3.0,4.0,0.49487168,4.0,3.0,2.0,0.0,2.0,2.2857144,0.0,1.4285715,0.49487168,2.0,0.0,0.0,0.0,1.1428572,0.9897433,0.0,2.0,2.4285715,3.0639443,0.0,0.0,5.571429,0.49487165,6.0,5.0,1098.2057,829.60455,2183.0,78.28571,94.0,94.0,6.67,15.53,2962.13,3.0,0.65465367,7.0,12.0,29.85046,6.3329377,5.811927,14.815844,4.628465,0.03844523,2.381565
